tf,N,λ,F_eSTA,F_STA,F_ad,Wn_eSTA,Wn_STA,Tn_eSTA,Tn_STA,Mn_eSTA,Mn_STA,Sq_eSTA,Sq_STA,Λf,Λ0
0.05,50,5,0.8327378465877564,0.6957386064895548,0.6555993172890238,23482.176881550673,44412.246561767664,0.04770365658046671,0.4097520117651854,0.25717772819750023,0.07619701649145377,0.6736662670117766,0.6520699912572411,50.00000000000001,0.0
0.0595959595959596,50,5,0.8861530128700766,0.780985787981427,0.6581212362533937,16737.427182097334,32295.608951323007,0.02617921435188464,0.3281109550723471,0.16718297192055628,0.014817356702947608,0.5347655853785137,0.5529753314862187,50.00000000000001,0.0
0.0691919191919192,50,5,0.921792583924594,0.8437050306489798,0.661056549646186,11298.471767844567,21814.949590496628,0.027022342141691524,0.3344923410475431,0.09374819216877595,0.09060249021996052,0.42380605069309907,0.468582823666563,50.00000000000001,0.0
0.07878787878787878,50,5,0.945496006426234,0.8885978761662567,0.6643915695468191,7395.619761156331,14193.8695153791,0.026186681156836755,0.25578522189206865,0.04057823961618914,0.14415594884732122,0.34231138622835444,0.3994146569414201,50.00000000000001,0.0
0.08838383838383838,50,5,0.9613283458285442,0.9201631574996862,0.6681104569427347,4755.31546903918,8984.936184389122,0.021908302949569247,0.17744291924692845,0.005765799560035748,0.1758399188498398,0.28422697441927985,0.34434834820436094,50.00000000000001,0.0
0.09797979797979799,50,5,0.9719955943230876,0.942141193493089,0.6721953152555015,3065.3427196740745,5627.945509461293,0.013985563263041456,0.13623225825210028,0.014769359695056144,0.18972829667375382,0.24304410478872285,0.30130913710406354,50.00000000000001,0.0
0.10757575757575757,50,5,0.9792652955212543,0.9573985630819106,0.6766262168510874,2049.295224719565,3567.2186568194857,0.016688481152549173,0.11710851122170851,0.02522065531581488,0.1909204237622903,0.21364325903887582,0.26792570555207174,50.00000000000001,0.0
0.11717171717171718,50,5,0.9842876490537313,0.9680206856906537,0.6813810299446404,1455.185427362289,2344.6018831303027,0.013449872326987133,0.08574647991643758,0.02905832454333894,0.18404852294868404,0.19237861788027374,0.2420036427664161,50.00000000000001,0.0
0.12676767676767678,50,5,0.9878126231138066,0.9754733443409875,0.6864357676820073,1101.711746754042,1627.528385010165,0.003935831660584199,0.06701600108183214,0.028851034025207594,0.1726939726441007,0.17675817040307518,0.221733854876031,50.00000000000001,0.0
0.13636363636363635,50,5,0.9903311070128049,0.9807640350197865,0.6917643132813823,875.9773132830936,1195.7509225006852,0.00755266238439134,0.05333567143495088,0.026368222634915638,0.15933844293144162,0.16510599231270187,0.2057175647075982,50.00000000000001,0.0
0.14595959595959596,50,5,0.9921659810811628,0.9845760868184771,0.6973387972000775,718.1348145856082,919.9957766410282,0.001840159136179409,0.04114027229995543,0.022762029071983526,0.14554683855737482,0.15629717523369682,0.19290863891639684,50.00000000000001,0.0
0.15555555555555556,50,5,0.9935309004575006,0.9873700421890703,0.703129575046953,600.0508785311741,732.2551239935073,0.0053925808263244335,0.033403921295693806,0.018749107565489087,0.1322264404882226,0.14957084134330564,0.18253571865615367,50.00000000000001,0.0
0.16515151515151516,50,5,0.9945682879278823,0.9894561285078728,0.7091052899685477,508.6316503289622,598.3095821265346,0.003144851046243957,0.02666681320206976,0.014755484954629692,0.11982686225698372,0.14440476543211705,0.17403157436291863,50.00000000000001,0.0
0.17474747474747473,50,5,0.9953739555227372,0.9910439523002854,0.7152332496336999,437.3076252267987,500.3972649572379,0.0029493824049708905,0.01914964742333325,0.011045558127841729,0.10854361537794029,0.14043346309852292,0.16697733477469215,50.00000000000001,0.0
0.18434343434343434,50,5,0.9960131043487722,0.9922763757386798,0.7214795405543812,382.414887211141,428.6615745238684,0.0012564083107236002,0.017579409594681294,0.007623712088590315,0.09839401427505931,0.1373953170548429,0.1610613988274452,50.00000000000001,0.0
0.19393939393939394,50,5,0.9965303835074816,0.9932514762749602,0.7278092014802788,341.577948592241,377.1297309215982,0.0019148538310531649,0.01380459802025058,0.004649684755323776,0.08932542564223554,0.1350984180329177,0.15604975806070934,50.00000000000001,0.0
0.20353535353535354,50,5,0.9969570412361582,0.9940374245599537,0.734186732344288,313.0078255877622,341.79422506820237,0.0002877270643963925,0.01307326524813135,0.002089783484781568,0.08124082907131207,0.13339863186698833,0.15176503686664583,50.00000000000001,0.0
0.21313131313131314,50,5,0.9973150768438687,0.9946823489570547,0.7405762451887263,295.2211457699622,319.71278314690045,0.0012688772255131653,0.012672830007609548,7.049607552980962e-5,0.07403843048133579,0.13218505771963984,0.14807162185514144,50.00000000000001,0.0
0.22272727272727272,50,5,0.9976201904259804,0.9952203979821119,0.7469419290891834,286.91850694563163,308.57625176603074,0.000513627473885947,0.012658394887843372,0.0018632717556184334,0.06760852936166986,0.1313704048025857,0.14486491542450242,50.00000000000001,0.0
0.23232323232323232,50,5,0.9978835053078099,0.9956761273076316,0.7532483795817195,286.9233675521838,306.48873840496935,0.00143020928433657,0.010625241797512786,0.003319820218466209,0.06185540086440971,0.13088436888411503,0.14206371755768976,50.00000000000001,0.0
0.24191919191919192,50,5,0.998113197150581,0.9960674591740784,0.7594611795185516,294.15111566865613,311.85084952222866,0.0010082024104463017,0.007407693902727885,0.004476063139332587,0.056691099347984955,0.13066907687297197,0.1396046364155016,50.00000000000001,0.0
0.2515151515151515,50,5,0.9983152890016405,0.9964075981547496,0.7655471851645221,307.5966144181638,323.29688814046517,0.0011900613827720008,0.008184273259104202,0.005394632488152433,0.05204031050271501,0.13067581098100692,0.13743795445877427,50.00000000000001,0.0
