1.	0.9999668
5.	0.9999671
10.	0.9999671
20.	0.9999671
50.	0.9999671
75.	0.9999669
100.	0.999967
150.	0.9999669
200.	0.9999671
250.	0.9999669
300.	0.999967
350.	0.9999671
400.	0.9999669
450.	0.9999671
500.	0.999967
600.	0.9999671
700.	0.999967
800.	0.9999669
900.	0.999967
1000.	0.9999671
1250.	0.999967
1500.	0.999967
1750.	0.999967
2000.	0.9999671
3000.	0.9999667
4000.	0.9999675
5000.	0.9999662
6000.	0.9999681
7000.	0.9999654
8000.	0.999969
9000.	0.9999641
10000.	0.9999706
12500.	0.9999659
15000.	0.9999598
17500.	0.9999573
20000.	0.9999672
