tf,full,full_orig,interm,interm_orig,sta
0.05,0.7104651784734165,0.7093445022518649,0.6254668483998258,0.6298189851447932,0.6119176566750179
0.05454545454545454,0.7533818545611591,0.7515800748307501,0.6707819710958107,0.6753279780199783,0.6564086145049569
0.05909090909090909,0.7903316503517076,0.787791471995531,0.7115958527594144,0.7162513513232551,0.6966474684157229
0.06363636363636363,0.8220372763621684,0.8188326067506585,0.7480011107441977,0.7526957024344063,0.7326990889039382
0.06818181818181818,0.849103280543092,0.8453914750185096,0.7802508005114812,0.7849243728399742,0.7647972664610123
0.07272727272727272,0.872087416125429,0.8680593936379523,0.8086463612014994,0.8132493161273688,0.7932212955571647
0.07727272727272727,0.8915159492548527,0.8873581884487243,0.8335167514903741,0.8380100128821514,0.8182747965572874
0.08181818181818182,0.9078777199137094,0.9037496714305133,0.8552004971380099,0.8595547325097,0.8402701894694493
0.08636363636363636,0.9216170385353339,0.9176415054238531,0.874031744403602,0.8782262178694566,0.8595162008294851
0.09090909090909091,0.9331298414019574,0.9293921254725552,0.8903309524677195,0.8943522320314579,0.8763094817838581
0.09545454545454546,0.942763311473543,0.9393153203482434,0.9043989090029347,0.9082395716729382,0.8909292085543699
0.1,0.9508180110542412,0.9476845431249585,0.9165131814065498,0.9201706033800722,0.9036338564180003
0.10454545454545454,0.9575515088250486,0.9547369408061992,0.9269263710783301,0.9304016514473022,0.9146595853850645
0.10909090909090909,0.9631827334242282,0.9606771245716512,0.9358656927865232,0.9391627301546162,0.9242198052605273
0.11363636363636363,0.9678965393710777,0.965680713668646,0.9435334970463596,0.94665822023426,0.9325055810305304
0.11818181818181818,0.9718481744966089,0.9698976680073289,0.9501084416466913,0.9530681834700052,0.9396866139563225
0.12272727272727273,0.9751674400791488,0.9734554158776069,0.9557470766902133,0.9585500757808821,0.9459125942590345
0.12727272727272726,0.9779624739020999,0.9764617403864567,0.9605856758545703,0.9632406856657821,0.9513147706459354
0.1318181818181818,0.9803231005992687,0.979007435645229,0.9647421692388307,0.9672581587350668,0.9560076210537487
0.13636363636363635,0.9823237570496435,0.9811687037899353,0.9683180916518166,0.9707040189018724,0.9600905411995282
0.1409090909090909,0.9840260143861667,0.9830092970140301,0.9714004712735699,0.9736651167062758,0.9636494911136495
0.14545454545454545,0.9854807301445269,0.9845824078680359,0.9740636165358694,0.9762154616513748,0.966758559654119
0.15,0.9867298720764179,0.9859323213891553,0.9763707624048978,0.9784179112204094,0.9694814212372309
0.15454545454545454,0.9878080514211519,0.9870958442301425,0.9783755821914516,0.9803257045043484,0.9718726714428393
0.1590909090909091,0.9887438064652249,0.988103530572248,0.9801235289398459,0.9819838267162201,0.9739790319302984
0.16363636363636364,0.9895606708529233,0.9889807263950015,0.981653032190546,0.9834302289839847,0.9758404298727685
0.16818181818181818,0.9902780588552462,0.989748452833272,0.9829965446289635,0.9846968865870862,0.9774909513721028
0.17272727272727273,0.9909120024144996,0.9904241476274643,0.9841814543822123,0.9858107131219741,0.9789596806069648
0.17727272727272728,0.9914757448430148,0.9910222933106052,0.9852308636231081,0.986794358898299,0.9802714237160638
0.18181818181818182,0.9919802528177628,0.9915549217211389,0.9861642668699921,0.9876668889332749,0.9814473460363352
0.18636363636363637,0.9924346018923944,0.9920320609960593,0.9869981195177194,0.9884443463978161,0.9825055113006607
0.19090909090909092,0.9928463304532329,0.9924620726809741,0.9877463241704196,0.9891402545440732,0.9834613485369583
0.19545454545454546,0.9932217131193818,0.9928519511784991,0.9884206390828865,0.9897660173501643,0.9843280515389151
0.2,0.9935659471858165,0.9932075650201777,0.9890310234484337,0.9903312673533737,0.9851169110529459
0.20454545454545456,0.9938833999160122,0.99353386002201,0.9895859247917829,0.990844152591531,0.9858376083762791
0.20909090909090908,0.9941776956533613,0.9938349852578143,0.990092516366962,0.9913115789376306,0.9864984544825323
0.21363636363636362,0.9944518740775546,0.9941144707561335,0.9905569185285359,0.9917393912972385,0.9871065948777071
0.21818181818181817,0.9947084831430147,0.9943752845193471,0.9909843338090318,0.9921326244247128,0.9876681601140782
0.22272727272727272,0.9949496858767146,0.9946199704002261,0.9913792118171744,0.9924954864333392,0.9881885145874352
0.22727272727272727,0.9951772452459465,0.9948506237481999,0.9917453728503763,0.9928316472948385,0.9886722318571479
0.2318181818181818,0.9953927082686828,0.9950690982622079,0.9920861356266804,0.9931442535173893,0.9891233118429471
0.23636363636363636,0.9955973736462894,0.9952769366140806,0.9924043370654368,0.9934359669231912,0.989545233396923
