tf,full,full_orig,interm,interm_orig,sta
0.05,0.5176685270035676,0.5233862466688843,0.2643225343343264,0.272821045569945,0.24254772332561647
0.05454545454545454,0.47048329915565773,0.47860060794385045,0.2488640260310383,0.25634545861942787,0.2292271902190798
0.05909090909090909,0.4167836676603705,0.42719406398608106,0.21843946514331103,0.22477442521279212,0.20214402602305276
0.06363636363636363,0.36768067120703796,0.38058225341894775,0.18214683157815487,0.18792374987983979,0.16763831180537053
0.06818181818181818,0.3243099359706182,0.3402398012544608,0.14595605909641296,0.15147135622687918,0.13235604625168854
0.07272727272727272,0.2851855601724097,0.30473680080070514,0.11074983990213688,0.11614346901430601,0.09768666329691451
0.07727272727272727,0.24940811183099906,0.2730659835365174,0.07673261948288895,0.08212875396108674,0.0638999179955447
0.08181818181818182,0.2165918188571458,0.24466525448839943,0.04441741155363358,0.04994078659167099,0.031495022801528015
0.08636363636363636,0.18655872676194207,0.21914693734873528,0.014348739575357629,0.020116671527947168,0.0010236635577356074
0.09090909090909091,0.15923786272698598,0.19623792301413223,0.013060661585702623,0.006941628658798467,0.027080231582741778
0.09545454545454546,0.13460404499158124,0.17575058454245074,0.037549569811465955,0.030985188039994026,0.052526457181223944
0.1,0.11262586504606416,0.1575418684767795,0.05899322349075343,0.05190332391418849,0.07515402200592833
0.10454545454545454,0.09323548377842406,0.14148104377662293,0.07738269106193678,0.06970271596841494,0.09491125299467051
0.10909090909090909,0.07631957985646044,0.12743258536332203,0.09280246594394884,0.08448468437173179,0.1118354872242833
0.11363636363636363,0.061723732123726255,0.11525061705447749,0.10540821593763972,0.09642243962023475,0.12603349444730708
0.11818181818181818,0.049262480866066494,0.10477990800231769,0.11540683644196184,0.10574023618862928,0.13766369356977626
0.12272727272727273,0.038731381607481866,0.09585974774197775,0.12303826569421765,0.11269489720996424,0.1469204682870263
0.12727272727272726,0.029918125350998418,0.08832877657358904,0.12856066418553877,0.1175601266808797,0.15402065848049284
0.1318181818181818,0.022611815568508293,0.08202917055966151,0.13223769876698155,0.120613645470639,0.1591922506101434
0.13636363636363635,0.01661014768967986,0.07681009064347741,0.13432867863681286,0.12212693336519752,0.16266518921451265
0.1409090909090909,0.01172430134475717,0.07253007663168051,0.1350810428312348,0.12235748700489421,0.1646640025699574
0.14545454545454545,0.007782254919984541,0.06905862514509509,0.13472489965225073,0.12154331827472885,0.16540237398357588
0.15,0.004630449111615099,0.06627671656130615,0.13346953909929413,0.11989945099882827,0.16507917984467496
0.15454545454545454,0.002134098874720132,0.06407706378369386,0.13150148981687163,0.11761605346524241,0.16387600591905738
0.1590909090909091,0.00017697260412704788,0.0623636473667016,0.1289839867339232,0.11485806818457199,0.16195574143881758
0.16363636363636364,0.0013399190310598276,0.06105101348400615,0.12605715670055712,0.11176573892694011,0.15946226533241714
0.16818181818181818,0.002499762985221824,0.06006339555531295,0.12283960654746517,0.1084561103208393,0.15652077592277142
0.17272727272727273,0.0033716895223313043,0.05933385308906398,0.11942971581041015,0.1050248932368009,0.15323872268391342
0.17727272727272728,0.00401253743822964,0.058803199990515156,0.1159078871916248,0.10154880473041318,0.1497070176462564
0.18181818181818182,0.004468710973635603,0.058419324019337276,0.1123386165248157,0.0980878313416556,0.14600200188026358
0.18636363636363637,0.004777688588115716,0.058136303047266254,0.10877256848946792,0.09468768688418902,0.14218622644212198
0.19090909090909092,0.0049696443003944156,0.0579137214447375,0.10524873497829568,0.09138197087182831,0.13831092954147284
0.19545454545454546,0.005068745844379903,0.05771620243059182,0.10179628647018184,0.08819425454674897,0.1344166761737158
0.2,0.005093962505912628,0.05751318207441574,0.09843629741296077,0.08513992653696498,0.13053770975863427
0.20454545454545456,0.005060756584918105,0.05727805366577661,0.09518324791151293,0.08222763193066948,0.1266976635239944
0.20909090909090908,0.004980974207989273,0.05698826951960249,0.09204632701121046,0.07946120675398227,0.1229162151447724
0.21363636363636362,0.004864029398140596,0.0566251935985525,0.08903080440154079,0.07684082651693999,0.11920803221576162
0.21818181818181817,0.004717379481098812,0.05617325864499735,0.08613794359734771,0.07436218780133497,0.115583202311807
0.22272727272727272,0.004546917846912978,0.055620656703842024,0.08336741801918648,0.07202047536207792,0.11204927733687403
0.22727272727272727,0.004357471157162165,0.05495873337185703,0.08071656778311358,0.06980785160116999,0.10861088883309963
0.2318181818181818,0.004153165466917202,0.0541810236745585,0.07818219613454404,0.06771646307016708,0.10526862166272634
0.23636363636363636,0.0039356741733772614,0.053285908173449775,0.07575814159011392,0.06573860919445854,0.10202468387737204
0.2409090909090909,0.0037079615106962193,0.052271795218042046,0.0734408075856406,0.06386304681560871,0.09888195143406282
0.24545454545454545,0.00347306184071898,0.05114042563603611,0.07125601610845189,0.062082632066220056,0.09582990961166561
0.25,0.003230320905896665,0.04989798916984825,0.06909828556773381,0.06038785265649645,0.09287526828191311
0.2545454545454545,0.002982782090112827,0.0485486473267833,0.06706228087930259,0.058770366734306,0.09001260859203164
0.2590909090909091,0.002730537306045102,0.047101435541631306,0.06510878980482164,0.05722228266729324,0.08723934268474264
0.2636363636363636,0.0024750195218097674,0.04556525514879847,0.06323229667472151,0.05573583175407796,0.08455250560610456
0.2681818181818182,0.002216735076549997,0.043950748660916424,0.06142721367215032,0.05430418899960909,0.08194973150411199
0.2727272727272727,0.0019562912933020963,0.04226947350677952,0.05968925169609986,0.052921130370242,0.07942674769518993
0.2772727272727273,0.0016941755681811092,0.04053388276945562,0.058012648661429314,0.051580826315796115,0.07698107954545881
0.2818181818181818,0.0014313874191159877,0.03875660797621512,0.05639337646357332,0.05028291712722132,0.07461014970445841
0.2863636363636364,0.0011675256869120914,0.036950691432159025,0.05482786657268776,0.04900955754243923,0.0723107426240115
0.2909090909090909,0.0009031441516563882,0.03512870796478777,0.05331187265988252,0.04776984384211085,0.07008027197014181
0.29545454545454547,0.0006390140390073425,0.03330421105285056,0.05184208543423674,0.046556581111928154,0.06791644642590167
0.3,0.000374601382164233,0.031489194633255835,0.05041600845942855,0.045366518319909614,0.0658167451153615
0.30454545454545456,0.0001106859505882618,0.02969593624869879,0.04903014510089124,0.04419767531924592,0.06377882738706656
0.3090909090909091,0.00015317284483770547,0.027935820673915417,0.047682700255098645,0.04304806908736442,0.061801295735356684
