λ1,λ2,λ3,λ4,λ5,tf,N,Λ0,Λf,eSTA,STA
-415.1340277275131,-50.823014779807494,-293.52465593154096,23.058166753468814,-87.34196252650871,0.02,20,0.0,50.0,0.3350242039744653,0.3142350520588269
-265.49875287968683,-31.571413326227777,-187.30269568892504,15.043697362699277,-55.645768359995145,0.02,30,0.0,50.0,0.14739986771112318,0.15683650289068124
-195.59866845938186,-23.24556830274537,-137.98530286472692,11.087365320393868,-40.992245750073856,0.02,40,0.0,50.0,0.3018230041715214,0.2834141338898393
-154.93197260961477,-18.412361977699486,-109.2966334181094,8.782304621813505,-32.46922661495515,0.02,50,0.0,50.0,0.2601541062498982,0.26149734332334656
-128.29206522287623,-15.246380315363997,-90.50338703314048,7.272252942596381,-26.886093259682188,0.02,60,0.0,50.0,0.3029997520267197,0.2904769306572185
-109.4794871350952,-13.010640698945418,-77.23200372113101,6.2058765020741715,-22.94344177133253,0.02,70,0.0,50.0,0.3110677148220626,0.3077209924105343
-95.48315269712253,-11.347283965314436,-67.35827201074956,5.412501232862563,-20.010180996749718,0.02,80,0.0,50.0,0.32681871379442823,0.31811592288688717
-84.66212588520865,-10.061292160280738,-59.72457647588754,4.7991144540924555,-17.74239508518959,0.02,90,0.0,50.0,0.343250025105642,0.33796764502338333
-76.04534085093111,-9.037259220387009,-53.6458708255353,4.310673091487758,-15.936565883720663,0.02,100,0.0,50.0,0.35365640375714014,0.3466830576952633
-104.89599550505058,-12.949919200403551,-73.62650563216789,5.643817154578547,-21.151188494270958,0.039999999999999994,20,0.0,50.0,0.45993679732842363,0.4334082303312252
-67.13334527968968,-8.051945041421103,-47.01538770706778,3.6879109981025997,-13.484100189287583,0.039999999999999994,30,0.0,50.0,0.5177811316721547,0.4974613615489496
-49.46991016781367,-5.9297604078992805,-34.643593691844465,2.7187861043561194,-9.93497521291418,0.039999999999999994,40,0.0,50.0,0.5602001559872732,0.5426541141432975
-39.189343728437116,-4.697334479614917,-27.44387546900202,2.1538511784072845,-7.869998196145109,0.039999999999999994,50,0.0,50.0,0.5949697642320404,0.5790568594975676
-32.45330441303509,-3.8898831522689687,-22.726555962616217,1.7836678890070412,-6.51708596846709,0.039999999999999994,60,0.0,50.0,0.6240097885851144,0.6093498581474198
